,rpn/num_neg_anchors,roi_head/num_fg_samples,roi_head/num_bg_samples,fast_rcnn/cls_accuracy,fast_rcnn/fg_cls_accuracy,fast_rcnn/false_negative,rank_data_time,data_time,total_loss,loss_cls,loss_box_reg,loss_rpn_cls,loss_rpn_loc,lr,time,eta_seconds,bbox/AP,bbox/AP50,bbox/AP75,bbox/APs,bbox/APm,bbox/APl,bbox/AP-BJTU,bbox/AP-FHY,bbox/AP-MH,bbox/AP-TSG,bbox/AP-TYHT,bbox/AP-ZX,rpn/num_pos_anchors
0,251.5,2.625,253.375,0.728515625,0.0,0.7928571701049805,0.03620709478855133,0.03620709478855133,1.8051952123641968,1.6699683666229248,0.025275494903326035,0.08832518756389618,0.013759145513176918,0.0001462404616177082,0.3163163661956787,1575.2554931640625,24.20363426208496,60.787147521972656,13.983588218688965,25.0,28.322364807128906,24.77385711669922,37.35295867919922,20.904356002807617,15.016042709350586,13.636353492736816,13.829732894897461,44.482364654541016,4.5
1,251.0,4.125,251.875,0.98388671875,0.0,1.0,0.044094398617744446,0.044094398617744446,0.35406193137168884,0.18894372880458832,0.04844037815928459,0.04684481769800186,0.015341708436608315,0.0002917567326221615,0.36978599429130554,1695.7459716796875,33.186370849609375,75.68646240234375,23.829395294189453,50.0,27.764205932617188,35.3143196105957,39.16807556152344,24.36876678466797,36.64143371582031,27.91761016845703,26.534652709960938,44.48768997192383,5.0
2,252.125,3.375,252.625,0.81396484375,0.0,0.9285714030265808,0.03483441844582558,0.03483441844582558,1.8346331119537354,1.628372311592102,0.03954974561929703,0.08850887417793274,0.010143664665520191,0.0001462404616177082,0.3340227007865906,1695.4041748046875,39.11821365356445,84.48163604736328,28.970226287841797,30.0,34.29004669189453,41.50226974487305,44.268218994140625,31.89676856994629,37.84196090698242,27.46051788330078,37.16761016845703,56.07420349121094,3.875
3,251.25,5.5,250.5,0.978515625,0.0,1.0,0.03282869979739189,0.03282869979739189,0.39016756415367126,0.1819387972354889,0.07158546149730682,0.06167122721672058,0.010968360118567944,0.0002917567326221615,0.34704405069351196,1663.43310546875,38.002323150634766,81.86004638671875,27.695280075073242,45.0,40.69100570678711,39.42258834838867,44.77037048339844,26.978382110595703,37.88636779785156,16.879955291748047,52.110836029052734,49.388031005859375,4.75
4,251.75,8.5,247.5,0.966796875,0.0,1.0,0.022955244407057762,0.022955244407057762,0.35992729663848877,0.19438377022743225,0.12672355771064758,0.024402443319559097,0.009898174554109573,0.0004372730036266148,0.33506152033805847,1695.159423828125,40.66230010986328,84.2049331665039,35.45341491699219,60.0,46.114532470703125,41.644554138183594,44.39419174194336,32.76792907714844,41.90354537963867,29.436311721801758,50.95557403564453,44.516239166259766,4.25
5,251.5,9.75,246.25,0.9619140625,0.0,1.0,0.03417475149035454,0.03417475149035454,0.3726348876953125,0.18356521427631378,0.14028078317642212,0.021219059824943542,0.009538215585052967,0.0005827893037348986,0.2880880832672119,1664.2314453125,44.83757019042969,85.28079986572266,36.41444396972656,40.0,46.152198791503906,46.33329391479492,49.52592849731445,34.45824432373047,45.37135314941406,37.173648834228516,50.231021881103516,52.26520919799805,4.5
6,251.5,11.0,245.0,0.95703125,0.0,1.0,0.01321435533463955,0.01321435533463955,0.3669824004173279,0.18071597814559937,0.16237042844295502,0.012271550484001637,0.008683530613780022,0.0007283055456355214,0.2509657144546509,1650.3973388671875,40.1727409362793,85.17747497558594,31.232219696044922,50.0,35.50068664550781,42.85343551635742,46.990516662597656,27.389516830444336,40.59071731567383,37.929630279541016,36.620460510253906,51.515594482421875,4.5
7,252.125,12.0,244.0,0.953125,0.0,1.0,0.028083864599466324,0.028083864599466324,0.3795837163925171,0.17094269394874573,0.17719975113868713,0.008839079178869724,0.00646103173494339,0.0008738218457438052,0.26884135603904724,1580.2689208984375,40.71184539794922,82.74220275878906,36.2198600769043,50.0,39.94516372680664,42.40447998046875,47.266536712646484,25.8120059967041,39.11167907714844,26.908823013305664,56.73267364501953,48.43936538696289,3.875
8,251.875,12.5,243.5,0.951171875,0.0,1.0,0.03652946278452873,0.03652946278452873,0.37454843521118164,0.16236138343811035,0.18736417591571808,0.010563153773546219,0.007513150572776794,0.001019338145852089,0.28509247303009033,1485.854248046875,36.85734176635742,78.78192901611328,33.40332794189453,70.0,32.11455535888672,38.64960479736328,46.62717819213867,30.13398551940918,33.14041519165039,10.900518417358398,48.81188201904297,51.53007125854492,4.125
9,252.375,11.75,244.25,0.9541015625,0.0,1.0,0.033378493040800095,0.033378493040800095,0.35024240612983704,0.15463176369667053,0.16608011722564697,0.018517334014177322,0.005916669964790344,0.0011648543877527118,0.2731117010116577,1455.098388671875,37.267704010009766,80.14155578613281,31.03085708618164,70.0,44.08538818359375,37.643310546875,44.90427017211914,29.7485294342041,24.615272521972656,25.946809768676758,55.65582275390625,42.735511779785156,3.625
10,251.0,12.875,243.125,0.951171875,0.0,0.9909090995788574,0.039875879883766174,0.039875879883766174,0.3545611798763275,0.14668810367584229,0.1911923736333847,0.00858298409730196,0.009202728979289532,0.0013103706296533346,0.2322995960712433,1403.5047607421875,42.040836334228516,82.64900207519531,40.22761535644531,70.0,41.15977478027344,43.06510543823242,46.906150817871094,31.091272354125977,33.04739761352539,31.78350830078125,65.20037841796875,44.216304779052734,5.0
11,252.375,12.875,243.125,0.9580078125,0.11695906519889832,0.8830409646034241,0.025434792041778564,0.025434792041778564,0.33505767583847046,0.12777748703956604,0.17434075474739075,0.007910633459687233,0.006494931876659393,0.0014558869879692793,0.29962900280952454,1377.5142822265625,40.49517059326172,77.37858581542969,35.57667922973633,60.0,37.40695571899414,42.46406555175781,44.758148193359375,31.370634078979492,32.103694915771484,27.8184814453125,62.0544548034668,44.86561965942383,3.625
12,251.125,14.0,242.0,0.95947265625,0.27746590971946716,0.6665640473365784,0.029565881937742233,0.029565881937742233,0.34586986899375916,0.13222667574882507,0.1920943558216095,0.007157008163630962,0.007374967448413372,0.0016014032298699021,0.3554574251174927,1384.2657470703125,39.83553695678711,76.58075714111328,37.97373580932617,70.0,39.26102828979492,40.801334381103516,42.76926803588867,31.551237106323242,26.407392501831055,25.263790130615234,67.22772216796875,45.79381561279297,4.875
13,252.625,14.625,241.375,0.95361328125,0.24235981702804565,0.686274528503418,0.036364953964948654,0.036364953964948654,0.35190820693969727,0.14100581407546997,0.18729212880134583,0.008667859248816967,0.006468571722507477,0.001746919471770525,0.3072749376296997,1386.10595703125,40.453678131103516,80.283935546875,40.12232971191406,60.0,42.86282730102539,41.214603424072266,44.78611373901367,31.86476707458496,25.52508544921875,30.146039962768555,66.2871322631836,44.11294174194336,3.375
14,251.75,15.625,240.375,0.955078125,0.34178322553634644,0.5620915293693542,0.027002757415175438,0.027002757415175438,0.3288765847682953,0.13062900304794312,0.1783711165189743,0.003982174210250378,0.0080612413585186,0.0018924357136711478,0.2747872471809387,1380.306396484375,39.08960723876953,78.75407409667969,34.79265594482422,60.0,37.409141540527344,39.95469665527344,44.28828048706055,30.39057731628418,24.657798767089844,32.24481201171875,59.30693054199219,43.64924240112305,4.25
15,251.375,15.25,240.75,0.9619140625,0.4184846580028534,0.5,0.030440544709563255,0.030440544709563255,0.3254769742488861,0.12079623341560364,0.18014870584011078,0.004372645169496536,0.007209658622741699,0.0020379519555717707,0.1695833057165146,1371.2059326171875,40.895790100097656,80.2862548828125,41.70906066894531,60.0,39.524200439453125,41.42293930053711,44.067623138427734,36.60332489013672,25.895353317260742,31.663366317749023,61.930694580078125,45.21437454223633,4.625
16,251.25,16.0,240.0,0.95654296875,0.43342819809913635,0.44003593921661377,0.0258481465280056,0.0258481465280056,0.31963592767715454,0.1323840320110321,0.1673971712589264,0.007184061221778393,0.00901028886437416,0.0021834683138877153,0.2805100083351135,1348.9351806640625,40.24635314941406,79.38538360595703,40.572933197021484,70.0,40.43008041381836,40.856346130371094,43.33061218261719,33.668766021728516,24.1658878326416,30.972158432006836,65.0,44.34068298339844,4.75
