,rpn/num_neg_anchors,roi_head/num_fg_samples,roi_head/num_bg_samples,fast_rcnn/cls_accuracy,fast_rcnn/fg_cls_accuracy,fast_rcnn/false_negative,rank_data_time,data_time,total_loss,loss_cls,loss_box_reg,loss_rpn_cls,loss_rpn_loc,lr,time,eta_seconds,bbox/AP,bbox/AP50,bbox/AP75,bbox/APs,bbox/APm,bbox/APl,bbox/AP-BJTU,bbox/AP-FHY,bbox/AP-MH,bbox/AP-TSG,bbox/AP-TYHT,bbox/AP-ZX,rpn/num_pos_anchors
0,248.375,3.0,253.0,0.9169921875,0.0,1.0,0.024037564173340797,0.024037564173340797,1.7845510244369507,1.4967210292816162,0.035507895052433014,0.1215643659234047,0.025099631398916245,0.0001462404616177082,0.2879164516925812,1433.8238525390625,11.344087600708008,32.91965103149414,4.154200077056885,16.25,15.924281120300293,12.30385684967041,17.993289947509766,14.801238059997559,7.672828674316406,0.10015869140625,0.3064592182636261,27.190553665161133,7.625
1,251.5,5.25,250.75,0.9794921875,0.0,1.0,0.049784936010837555,0.049784936010837555,0.38991788029670715,0.18013633787631989,0.07597942650318146,0.061787355691194534,0.010982123203575611,0.0002917567326221615,0.30884331464767456,1466.942138671875,29.42530632019043,66.87877655029297,20.662128448486328,40.0,24.50041389465332,33.124053955078125,33.92730712890625,23.167470932006836,33.73658752441406,24.426618576049805,18.48114585876465,42.81270217895508,4.5
2,250.25,7.0,249.0,0.97265625,0.0,1.0,0.02080278843641281,0.02080278843641281,0.37020933628082275,0.1777423918247223,0.09710703790187836,0.051533035933971405,0.014150175265967846,0.0004372730036266148,0.2626146972179413,1357.162353515625,37.757530212402344,77.13736724853516,37.41485595703125,45.0,45.40180969238281,38.59383010864258,32.243980407714844,25.052419662475586,44.330039978027344,31.119096755981445,40.747833251953125,53.05179977416992,5.75
3,250.125,7.5,248.5,0.970703125,0.0,1.0,0.02881985530257225,0.02881985530257225,0.3401866853237152,0.1546008586883545,0.1085062175989151,0.05882030352950096,0.015345916152000427,0.0005827893037348986,0.2555372416973114,1332.32666015625,35.93185806274414,76.07754516601562,25.739622116088867,40.0,37.05872344970703,37.210777282714844,44.74807357788086,31.399890899658203,25.79327964782715,27.509489059448242,36.42109298706055,49.71932601928711,5.875
4,249.875,8.375,247.625,0.96728515625,0.0,1.0,0.027730580419301987,0.027730580419301987,0.3562433421611786,0.16947108507156372,0.12616202235221863,0.03388897329568863,0.014097929000854492,0.0007283055456355214,0.2812676727771759,1332.5203857421875,40.820709228515625,84.00152587890625,33.80150604248047,30.0,42.35069274902344,42.2911376953125,44.200157165527344,38.38020706176758,31.592674255371094,24.95065689086914,51.232398986816406,54.568172454833984,6.125
5,251.0,10.5,245.5,0.958984375,0.0,1.0,0.02836565673351288,0.02836565673351288,0.38807183504104614,0.1823582649230957,0.15960069000720978,0.02432437054812908,0.01057096105068922,0.0008738218457438052,0.31580522656440735,1358.9090576171875,40.805423736572266,83.71006774902344,32.010894775390625,50.0,49.13643264770508,41.374305725097656,49.772682189941406,32.531410217285156,40.42051696777344,31.33543586730957,53.21782302856445,37.55467224121094,5.0
6,247.5,8.0,248.0,0.96875,0.0,1.0,0.031340911984443665,0.031340911984443665,0.3671039342880249,0.13979659974575043,0.11652577668428421,0.038023315370082855,0.020518288016319275,0.001019338145852089,0.3245282769203186,1374.9892578125,39.920166015625,80.44644927978516,27.76207160949707,45.0,37.91575241088867,42.093807220458984,44.247955322265625,34.653202056884766,38.255859375,29.132122039794922,46.58445739746094,46.64739990234375,8.5
7,250.375,9.5,246.5,0.962890625,0.0,1.0,0.040165264159440994,0.040165264159440994,0.34156498312950134,0.14959296584129333,0.13586390018463135,0.030210737138986588,0.016286421567201614,0.0011648543877527118,0.30790475010871887,1382.3214111328125,46.965877532958984,86.5710678100586,53.435569763183594,35.0,46.80144500732422,48.99650192260742,50.206787109375,37.938819885253906,42.74541091918945,34.61045837402344,59.93811798095703,56.35567855834961,5.625
8,251.0,9.25,246.75,0.9638671875,0.0,1.0,0.01864153891801834,0.01864153891801834,0.334439754486084,0.15934431552886963,0.13063588738441467,0.02753942832350731,0.011950244195759296,0.0013103706296533346,0.2890872359275818,1376.609375,40.84397888183594,85.33350372314453,33.58637619018555,80.0,44.882904052734375,41.181461334228516,48.41843795776367,37.325111389160156,38.438236236572266,27.468814849853516,49.66171646118164,43.75155258178711,5.0
9,248.25,9.625,246.375,0.96240234375,0.0,1.0,0.0273155365139246,0.0273155365139246,0.3484181761741638,0.13650593161582947,0.14222031831741333,0.03314753621816635,0.019256271421909332,0.0014558869879692793,0.2881844937801361,1370.897216796875,43.25016403198242,82.80996704101562,36.98455810546875,50.0,45.79215621948242,44.28785705566406,51.280155181884766,40.986324310302734,41.73308563232422,14.789515495300293,58.81435775756836,51.897560119628906,7.75
